Player,Position,Team,Opponent,Minutes,Points,Assists,Rebounds,Three Pointers Made,Turnovers,Steals,Blocks,PRA,Scenario,PlayerID
Devin Carter,PG,SAC,MIL,14.0,4.6,1.1,2.5,0.62,0.66,0.68,0.18,8.2,Default,20003196
Keon Ellis,SG,SAC,MIL,25.0,8.5,1.4,2.9,1.78,0.81,1.61,0.55,12.9,Default,20002905
Zach Lavine,SG,SAC,MIL,35.0,23.6,3.3,3.5,2.9,2.21,0.72,0.21,30.4,Default,20000804
Nique Clifford,SG,SAC,MIL,21.0,6.4,1.5,4.1,0.61,1.09,0.66,0.36,11.9,Default,20003463
DeMar DeRozan,PF,SAC,MIL,35.0,20.3,4.3,4.1,0.95,1.37,0.85,0.39,28.6,Default,20000456
Dylan Cardwell,C,SAC,MIL,2.0,0.6,0.1,0.3,0.07,0.09,0.05,0.05,1.1,Default,20003520
Domantas Sabonis,C,SAC,MIL,34.5,17.3,4.4,13.1,0.92,2.69,0.81,0.37,34.7,Default,20001683
Drew Eubanks,C,SAC,MIL,13.0,4.6,0.6,3.5,0.05,0.57,0.32,0.61,8.8,Default,20002045
Dario Saric,C,SAC,MIL,2.0,0.7,0.2,0.4,0.1,0.1,0.04,0.01,1.2,Default,20001597
Isaac Jones,PF,SAC,MIL,1.5,0.6,0.0,0.3,0.02,0.06,0.03,0.03,0.9,Default,20003267
Bub Carrington,PG,WAS,ORL,23.5,7.6,3.5,3.1,1.24,1.42,0.56,0.2,14.3,Default,20003205
Tre Johnson,SG,WAS,ORL,25.0,12.1,2.4,3.0,2.08,1.13,0.55,0.28,17.4,Default,20003449
CJ McCollum,PG,WAS,ORL,30.5,16.7,4.1,3.6,2.34,1.79,0.86,0.31,24.4,Default,20000620
Corey Kispert,SG,WAS,ORL,18.0,7.3,1.2,2.2,1.25,0.74,0.3,0.12,10.8,Default,20002651
Khris Middleton,SF,WAS,ORL,24.0,12.1,2.8,4.3,1.14,1.69,0.89,0.16,19.1,Default,20000500
Bilal Coulibaly,SF,WAS,ORL,27.5,11.0,2.9,4.4,1.14,1.74,0.94,0.58,18.2,Default,20003052
Cam Whitmore,SF,WAS,ORL,15.5,8.6,0.9,2.9,0.91,0.91,0.56,0.2,12.5,Default,20003037
Kyshawn George,SF,WAS,ORL,30.5,14.7,3.9,7.2,2.07,1.93,1.19,0.91,25.8,Default,20003202
Alexandre Sarr,C,WAS,ORL,28.0,14.8,3.1,7.8,1.42,2.19,0.69,1.59,25.7,Default,20003215
Marvin Bagley,C,WAS,ORL,15.5,6.4,0.6,4.6,0.27,0.8,0.34,0.46,11.7,Default,20001995
Tristan Vukcevic,C,WAS,ORL,2.0,1.1,0.1,0.5,0.14,0.16,0.05,0.09,1.7,Default,20003078
Egor Demin,PG,BKN,MIN,19.0,7.0,3.0,3.0,1.48,1.88,0.57,0.25,13.0,Default,20003455
Ben Saraf,SG,BKN,MIN,6.0,1.5,1.1,0.7,0.19,0.43,0.18,0.03,3.3,Default,20003475
Nolan Traore,PG,BKN,MIN,2.0,0.6,0.3,0.2,0.11,0.14,0.04,0.02,1.1,Default,20003473
Tyrese Martin,SF,BKN,MIN,25.0,9.3,3.2,3.7,1.8,1.2,0.69,0.17,16.2,Default,20002930
Cam Thomas,SG,BKN,MIN,30.5,23.2,4.0,2.8,2.44,2.23,0.63,0.15,30.1,Default,20002658
Terance Mann,SF,BKN,MIN,26.5,9.4,2.9,3.6,1.23,0.89,0.86,0.21,15.9,Default,20002312
Jalen Wilson,PF,BKN,MIN,14.0,5.3,1.0,1.8,0.89,0.58,0.29,0.05,8.1,Default,20003084
Ziaire Williams,SF,BKN,MIN,21.0,8.8,1.0,3.3,1.55,0.92,0.68,0.24,13.0,Default,20002656
Michael Porter Jr.,SF,BKN,MIN,31.0,18.3,2.5,6.8,2.68,1.56,0.6,0.38,27.7,Default,20001988
Noah Clowney,PF,BKN,MIN,20.5,7.8,1.1,3.4,1.53,0.97,0.49,0.3,12.2,Default,20003046
Danny Wolf,PF,BKN,MIN,2.0,0.9,0.2,0.6,0.08,0.2,0.05,0.09,1.7,Default,20003458
Nicolas Claxton,C,BKN,MIN,26.5,10.9,2.7,7.1,0.04,1.25,0.78,1.3,20.6,Default,20002292
DayRon Sharpe,C,BKN,MIN,16.0,6.3,1.8,5.6,0.25,1.17,0.61,0.72,13.7,Default,20002697
Payton Pritchard,PG,BOS,UTA,32.0,16.7,5.9,4.6,3.22,1.05,1.1,0.22,27.2,Default,20002551
Anfernee Simons,SG,BOS,UTA,26.0,15.0,3.1,2.3,2.78,1.25,0.69,0.13,20.3,Default,20002007
Derrick White,SG,BOS,UTA,33.5,20.7,6.0,4.5,4.32,1.43,1.14,1.21,31.3,Default,20001856
Jaylen Brown,SF,BOS,UTA,32.0,24.2,5.0,5.7,2.21,2.44,1.19,0.37,34.9,Default,20001672
Hugo Gonzalez,SF,BOS,UTA,11.0,3.2,0.6,1.5,0.32,0.39,0.44,0.25,5.3,Default,20003474
Baylor Scheierman,SG,BOS,UTA,9.0,2.6,0.8,1.7,0.64,0.26,0.32,0.1,5.1,Default,20003208
Sam Hauser,SF,BOS,UTA,23.0,9.9,1.1,3.4,2.9,0.45,0.66,0.31,14.4,Default,20002686
Jordan Walsh,SF,BOS,UTA,4.0,0.9,0.3,0.7,0.13,0.15,0.12,0.09,1.9,Default,20003076
Josh Minott,SF,BOS,UTA,24.0,9.6,1.8,5.6,1.19,0.71,1.24,0.94,17.0,Default,20002913
Chris Boucher,PF,BOS,UTA,4.0,1.7,0.2,1.1,0.24,0.11,0.12,0.16,3.0,Default,20001886
Neemias Queta,C,BOS,UTA,21.5,8.0,1.5,7.1,0.02,0.94,0.66,1.25,16.7,Default,20002678
Luka Garza,C,BOS,UTA,14.0,7.6,0.9,3.6,0.93,0.63,0.38,0.19,12.1,Default,20002684
Xavier Tillman,C,BOS,UTA,6.0,2.0,0.4,1.4,0.25,0.22,0.35,0.2,3.7,Default,20002560
DAngelo Russell,PG,DAL,HOU,26.0,15.5,4.7,2.8,2.3,2.16,0.85,0.38,23.0,Default,20001458
Brandon Williams,PG,DAL,HOU,16.0,8.7,2.2,1.9,0.73,1.16,0.59,0.16,12.9,Default,20002854
Ryan Nembhard,PG,DAL,HOU,1.0,0.4,0.1,0.1,0.04,0.06,0.03,0.01,0.6,Default,20003518
Jaden Hardy,SG,DAL,HOU,3.0,1.6,0.2,0.3,0.25,0.21,0.07,0.02,2.1,Default,20002891
Cooper Flagg,PG,DAL,HOU,33.0,15.4,3.5,6.3,1.2,2.39,1.04,0.96,25.3,Default,20003444
Klay Thompson,SG,DAL,HOU,21.5,10.5,1.6,2.7,2.05,1.0,0.43,0.3,14.7,Default,20000486
Miles Kelly,PG,DAL,HOU,1.0,0.4,0.1,0.2,0.04,0.04,0.03,0.01,0.6,Default,20003516
Max Christie,SG,DAL,HOU,31.0,11.0,2.0,3.4,1.96,1.17,0.72,0.39,16.4,Default,20002900
Naji Marshall,PF,DAL,HOU,23.0,8.9,2.4,3.8,0.64,1.28,0.78,0.2,15.1,Default,20002600
Caleb Martin,SF,DAL,HOU,12.5,3.9,0.9,1.9,0.4,0.6,0.41,0.22,6.7,Default,20002491
P.J. Washington,PF,DAL,HOU,34.0,15.6,2.3,6.9,1.55,2.15,1.0,1.08,24.8,Default,20002279
Daniel Gafford,C,DAL,HOU,18.0,9.1,1.1,5.6,0.0,0.94,0.44,1.55,15.8,Default,20002329
Dwight Powell,C,DAL,HOU,20.0,5.0,1.9,4.6,0.07,0.9,0.63,0.55,11.5,Default,20000539
Jamal Murray,PG,DEN,SAC,33.5,22.3,5.8,3.8,2.7,1.97,1.09,0.38,31.9,Default,20001666
Jalen Pickett,PG,DEN,SAC,2.0,0.7,0.3,0.2,0.14,0.08,0.05,0.02,1.2,Default,20003073
Bruce Brown,SF,DEN,SAC,18.5,6.7,1.9,3.0,0.66,0.82,0.69,0.27,11.6,Default,20002040
Christian Braun,SG,DEN,SAC,30.0,13.5,2.7,4.5,1.07,0.93,0.93,0.45,20.7,Default,20002868
Julian Strawther,SG,DEN,SAC,4.0,1.8,0.3,0.4,0.32,0.16,0.12,0.05,2.5,Default,20003071
Cameron Johnson,SF,DEN,SAC,28.0,12.8,2.5,3.9,2.25,1.29,0.83,0.33,19.3,Default,20002289
Tim Hardaway Jr.,SG,DEN,SAC,21.0,8.9,1.2,1.8,1.88,0.54,0.44,0.1,11.9,Default,20000788
Spencer Jones,SG,DEN,SAC,2.0,0.6,0.1,0.3,0.1,0.09,0.1,0.05,1.0,Default,20003396
Aaron Gordon,PF,DEN,SAC,31.0,16.8,2.9,5.4,2.08,1.39,0.69,0.35,25.0,Default,20000681
Peyton Watson,SF,DEN,SAC,21.0,6.7,1.4,3.0,0.57,0.79,0.66,0.97,11.2,Default,20002920
Hunter Tyson,PF,DEN,SAC,1.0,0.4,0.1,0.2,0.09,0.04,0.03,0.01,0.6,Default,20003075
Nikola Jokic,C,DEN,SAC,34.0,25.7,10.5,12.1,1.78,2.92,1.56,0.57,48.3,Default,20001441
Jonas Valanciunas,C,DEN,SAC,12.5,6.6,1.3,4.9,0.13,0.85,0.29,0.37,12.8,Default,20000455
Zeke Nnaji,C,DEN,SAC,1.5,0.5,0.1,0.3,0.05,0.05,0.05,0.08,0.8,Default,20002547
Cade Cunningham,PG,DET,MEM,36.0,26.1,9.5,5.4,2.36,4.31,1.15,0.71,41.0,Default,20002667
Daniss Jenkins,PG,DET,MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Default,20003269
Chaz Lanier,SG,DET,MEM,3.0,0.9,0.3,0.4,0.2,0.15,0.1,0.04,1.6,Default,20003482
Caris LeVert,SG,DET,MEM,19.0,9.3,2.3,2.2,1.18,1.09,0.74,0.36,13.8,Default,20001707
Duncan Robinson,SF,DET,MEM,30.5,11.4,2.1,2.9,2.78,1.41,0.69,0.22,16.4,Default,20002057
Ausar Thompson,SF,DET,MEM,29.5,15.1,3.5,6.8,0.51,1.69,1.92,0.98,25.4,Default,20003036
Ron Holland II,SF,DET,MEM,21.5,10.1,1.8,3.5,1.02,1.3,0.92,0.33,15.3,Default,20003214
Tobias Harris,SF,DET,MEM,32.0,15.6,2.8,5.9,1.66,1.24,1.06,0.63,24.3,Default,20000676
Javonte Green,SG,DET,MEM,17.0,6.6,0.9,3.2,0.98,0.53,0.82,0.39,10.7,Default,20002200
Jalen Duren,C,DET,MEM,28.0,15.5,2.3,10.9,0.01,2.11,0.78,1.21,28.7,Default,20002875
Isaiah Stewart,PF,DET,MEM,22.0,8.7,1.6,5.9,0.71,1.07,0.46,1.4,16.1,Default,20002541
Paul Reed,C,DET,MEM,1.5,0.7,0.1,0.4,0.05,0.08,0.09,0.09,1.2,Default,20002584
Reed Sheppard,SG,HOU,DAL,18.5,8.0,2.5,2.3,1.57,1.06,0.88,0.35,12.8,Default,20003191
Aaron Holiday,PG,HOU,DAL,2.0,0.9,0.2,0.2,0.19,0.08,0.06,0.02,1.3,Default,20002005
Amen Thompson,PG,HOU,DAL,34.0,16.2,6.3,6.4,0.6,2.2,1.56,1.06,28.9,Default,20003034
Kevon Harris,SG,HOU,DAL,1.0,0.3,0.1,0.1,0.02,0.03,0.03,0.01,0.5,Default,20002631
Josh Okogie,SF,HOU,DAL,24.5,8.5,1.2,3.0,0.95,0.83,1.22,0.51,12.7,Default,20002006
Kevin Durant,SF,HOU,DAL,35.0,26.7,3.7,5.3,2.31,2.59,0.82,0.9,35.7,Default,20000884
JaeSean Tate,SG,HOU,DAL,2.0,0.7,0.2,0.3,0.06,0.08,0.08,0.03,1.3,Default,20002213
Jabari Smith Jr.,PF,HOU,DAL,33.5,14.7,1.6,6.2,2.09,1.14,0.66,0.64,22.5,Default,20002871
Tari Eason,SF,HOU,DAL,23.5,10.8,1.8,5.0,1.21,1.1,1.31,0.67,17.6,Default,20002883
Jeff Green,PF,HOU,DAL,2.0,0.8,0.1,0.3,0.11,0.06,0.03,0.03,1.1,Default,20000632
Alperen Sengun,C,HOU,DAL,34.5,21.5,6.3,9.1,0.95,2.65,1.22,0.8,37.0,Default,20002666
Steven Adams,C,HOU,DAL,18.5,4.9,1.5,6.7,0.01,1.1,0.58,0.69,13.1,Default,20000875
Clint Capela,C,HOU,DAL,11.0,4.4,0.4,3.3,0.0,0.4,0.27,0.52,8.1,Default,20000549
RayJ Dennis,PG,IND,MIL,19.0,8.9,4.4,2.8,1.63,1.29,0.64,0.22,16.1,Default,20003293
Quenton Jackson,SG,IND,MIL,28.0,13.3,5.2,3.9,1.2,1.53,1.03,0.23,22.4,Default,20002950
Taelon Peter,SG,IND,MIL,3.5,1.1,0.3,0.4,0.17,0.22,0.12,0.04,1.8,Default,20003498
Mac McClung,PG,IND,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Default,20002741
Ben Sheppard,SG,IND,MIL,19.0,6.5,1.9,3.7,1.02,0.58,0.6,0.17,12.1,Default,20003070
Aaron Nesmith,SF,IND,MIL,32.5,17.0,1.6,5.0,3.12,1.09,0.91,0.5,23.5,Default,20002539
Johnny Furphy,SF,IND,MIL,22.0,6.5,1.3,4.4,1.01,0.79,0.77,0.47,12.3,Default,20003201
Pascal Siakam,PF,IND,MIL,35.0,26.6,5.2,7.8,2.35,2.35,0.97,0.46,39.7,Default,20001710
Jeremiah Robinson-Earl,C,IND,MIL,8.0,2.9,0.7,1.8,0.45,0.31,0.21,0.08,5.3,Default,20002683
Jarace Walker,PF,IND,MIL,32.0,13.9,3.4,6.1,2.44,2.08,1.14,0.6,23.5,Default,20003035
Isaiah Jackson,C,IND,MIL,18.5,8.0,1.0,5.5,0.01,1.12,0.68,1.02,14.5,Default,20002673
Jay Huff,C,IND,MIL,10.5,4.7,0.6,1.9,0.84,0.44,0.22,0.54,7.1,Default,20002735
Tony Bradley,C,IND,MIL,12.0,5.3,0.8,3.7,0.09,0.55,0.29,0.39,9.8,Default,20001857
James Harden,PG,LAC,MIA,35.0,22.6,9.0,5.2,3.14,3.63,1.39,0.72,36.8,Default,20000544
Chris Paul,PG,LAC,MIA,14.0,4.6,4.0,1.6,0.89,0.73,0.7,0.13,10.2,Default,20000664
Bradley Beal,SG,LAC,MIA,21.0,10.1,2.5,2.2,1.11,1.21,0.64,0.28,14.8,Default,20000441
Kris Dunn,PG,LAC,MIA,22.0,6.0,2.5,2.9,0.92,0.94,1.44,0.38,11.4,Default,20001670
Bogdan Bogdanovic,SG,LAC,MIA,5.0,2.1,0.6,0.6,0.39,0.25,0.15,0.04,3.3,Default,20001745
Kawhi Leonard,PF,LAC,MIA,32.5,22.3,3.5,5.9,2.09,1.76,1.51,0.57,31.6,Default,20000646
Derrick Jones Jr.,SF,LAC,MIA,23.0,8.6,0.8,2.9,1.08,0.72,0.79,0.47,12.4,Default,20001796
John Collins,PF,LAC,MIA,23.0,12.5,1.2,5.6,0.87,1.22,0.55,0.61,19.3,Default,20001835
Nicolas Batum,PF,LAC,MIA,16.5,4.5,0.9,2.5,1.28,0.37,0.54,0.38,7.9,Default,20000617
Ivica Zubac,C,LAC,MIA,32.0,17.1,2.6,10.6,0.02,1.34,0.57,1.1,30.4,Default,20001694
Brook Lopez,C,LAC,MIA,16.0,6.9,0.8,2.8,1.07,0.46,0.33,0.75,10.5,Default,20000588
Nick Smith Jr.,SG,LAL,POR,12.5,6.2,1.6,1.3,1.17,0.83,0.22,0.1,9.1,Default,20003043
Marcus Smart,SG,LAL,POR,31.5,12.8,5.6,2.8,1.85,2.72,1.87,0.34,21.2,Default,20000560
Bronny James Jr.,PG,LAL,POR,21.0,5.8,2.8,2.1,0.75,1.68,1.07,0.33,10.8,Default,20003212
Dalton Knecht,SF,LAL,POR,30.0,18.9,1.6,4.0,3.35,1.43,0.79,0.25,24.5,Default,20003194
Jake LaRavia,PF,LAL,POR,34.0,17.3,3.8,5.7,2.3,2.46,1.48,0.56,26.7,Default,20002910
Rui Hachimura,PF,LAL,POR,34.5,17.5,2.2,6.4,2.07,1.41,0.86,0.47,26.1,Default,20002275
Jarred Vanderbilt,PF,LAL,POR,22.0,7.1,2.1,6.3,0.34,1.38,1.4,0.36,15.5,Default,20002015
Maxi Kleber,PF,LAL,POR,6.5,1.6,0.6,1.0,0.25,0.27,0.13,0.2,3.2,Default,20001909
Deandre Ayton,C,LAL,POR,31.5,18.3,2.4,9.7,0.21,2.62,0.81,0.89,30.4,Default,20001990
Jaxson Hayes,PF,LAL,POR,16.5,6.0,1.4,4.0,0.06,0.86,0.5,0.6,11.4,Default,20002274
Christian Koloko,C,LAL,POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Default,20002894
Ja Morant,PG,MEM,DET,31.0,25.1,7.5,4.0,1.73,3.6,1.18,0.22,36.6,Default,20002266
John Konchar,SF,MEM,DET,12.0,2.7,0.9,2.6,0.5,0.41,0.62,0.32,6.3,Default,20002318
Kentavious Caldwell-Pope,SG,MEM,DET,25.0,8.7,2.7,2.6,1.5,0.99,1.13,0.4,14.0,Default,20000811
Cam Spencer,PG,MEM,DET,16.0,6.7,2.0,2.3,1.27,0.84,0.53,0.16,11.0,Default,20003254
Jaylen Wells,SF,MEM,DET,27.5,10.6,2.0,3.5,1.81,1.09,0.72,0.14,16.1,Default,20003240
Vince Williams Jr.,SF,MEM,DET,17.0,6.6,1.9,2.8,1.12,1.1,0.6,0.25,11.3,Default,20002927
Cedric Coward,SG,MEM,DET,26.0,12.5,2.3,4.8,1.26,1.17,1.04,0.68,19.5,Default,20003477
Jaren Jackson Jr.,C,MEM,DET,30.0,20.5,2.1,5.8,1.77,2.16,1.22,1.59,28.3,Default,20001991
Santi Aldama,PF,MEM,DET,26.0,11.7,2.7,6.7,1.73,1.22,0.83,0.81,21.1,Default,20002709
Olivier-Maxence Prosper,PF,MEM,DET,6.0,2.2,0.4,1.4,0.16,0.22,0.21,0.09,3.9,Default,20003067
Jock Landale,C,MEM,DET,23.5,8.3,2.0,6.1,0.58,1.19,0.55,0.75,16.4,Default,20002172
Davion Mitchell,PG,MIA,LAC,30.0,9.4,6.8,2.4,1.28,1.74,1.05,0.21,18.6,Default (Jovic & Ware Hedged Starting),20002664
Dru Smith,PG,MIA,LAC,16.0,4.9,2.1,1.8,0.76,0.77,1.08,0.26,8.8,Default (Jovic & Ware Hedged Starting),20002759
Norman Powell,SG,MIA,LAC,31.0,18.9,2.2,3.4,2.3,1.74,1.05,0.22,24.5,Default (Jovic & Ware Hedged Starting),20001416
Jaime Jaquez Jr.,SF,MIA,LAC,26.5,12.4,3.8,5.4,0.61,1.83,1.03,0.19,21.6,Default (Jovic & Ware Hedged Starting),20003060
Andrew Wiggins,SF,MIA,LAC,32.0,16.9,2.5,4.6,1.79,2.01,1.05,0.64,24.0,Default (Jovic & Ware Hedged Starting),20000795
Pelle Larsson,SG,MIA,LAC,10.5,3.6,0.9,1.3,0.52,0.39,0.38,0.08,5.8,Default (Jovic & Ware Hedged Starting),20003245
Simone Fontecchio,PF,MIA,LAC,19.0,8.6,1.3,2.8,1.77,0.75,0.52,0.19,12.7,Default (Jovic & Ware Hedged Starting),20003009
Nikola Jovic,PF,MIA,LAC,22.0,8.9,2.4,3.7,1.48,1.14,0.69,0.24,15.0,Default (Jovic & Ware Hedged Starting),20002888
Bam Adebayo,C,MIA,LAC,34.5,18.6,3.3,9.6,1.54,2.09,1.18,0.63,31.5,Default (Jovic & Ware Hedged Starting),20001836
Kelel Ware,C,MIA,LAC,18.5,7.1,0.7,6.0,0.65,0.79,0.57,0.77,13.7,Default (Jovic & Ware Hedged Starting),20003207
Cole Anthony,PG,MIL,IND,18.0,9.3,3.8,3.0,1.06,1.39,0.55,0.39,16.1,Default,20002540
Ryan Rollins,PG,MIL,IND,32.0,14.8,5.0,4.4,1.88,1.98,1.87,0.59,24.1,Default,20002917
AJ Green,SG,MIL,IND,27.5,9.5,1.8,3.0,2.76,0.69,0.49,0.1,14.3,Default,20002945
Gary Trent Jr.,SG,MIL,IND,29.0,13.6,1.8,2.8,3.04,0.68,0.98,0.13,18.1,Default,20002027
Taurean Prince,SF,MIL,IND,18.0,5.2,1.2,2.3,1.09,0.61,0.53,0.2,8.7,Default,20001680
Amir Coffey,SF,MIL,IND,14.0,4.9,0.7,1.4,0.67,0.39,0.27,0.08,7.0,Default,20002386
Kyle Kuzma,PF,MIL,IND,20.5,8.9,1.7,4.0,0.8,1.45,0.33,0.27,14.6,Default,20001858
Giannis Antetokounmpo,PF,MIL,IND,33.0,30.3,7.2,11.9,0.41,2.92,0.93,0.98,49.4,Default,20000497
Bobby Portis,PF,MIL,IND,19.5,10.4,1.4,6.2,1.01,0.94,0.44,0.32,17.9,Default,20001420
Myles Turner,C,MIL,IND,28.5,13.9,1.6,6.7,1.93,1.38,0.59,1.65,22.2,Default,20001424
Mike Conley,PG,MIN,BKN,26.5,10.0,5.0,2.6,1.97,1.31,1.15,0.23,17.6,Default,20000635
Rob Dillingham,PG,MIN,BKN,14.5,5.9,3.1,1.4,0.55,1.56,0.53,0.09,10.4,Default,20003193
Bones Hyland,PG,MIN,BKN,10.0,5.2,1.5,1.0,0.94,0.83,0.44,0.12,7.7,Default,20002701
Donte DiVincenzo,SG,MIN,BKN,31.5,16.2,4.0,4.2,3.88,2.26,1.47,0.42,24.3,Default,20001987
Terrence Shannon Jr.,SG,MIN,BKN,14.5,6.3,1.4,2.2,0.57,0.67,0.39,0.15,9.8,Default,20003230
Jaden McDaniels,SF,MIN,BKN,33.0,17.2,2.1,5.6,1.49,1.3,1.15,0.95,24.8,Default,20002553
Joe Ingles,SF,MIN,BKN,1.0,0.3,0.1,0.1,0.07,0.06,0.03,0.01,0.6,Default,20000842
Jaylen Clark,SG,MIN,BKN,18.0,6.3,1.1,2.8,0.71,0.55,1.05,0.15,10.2,Default,20003086
Julius Randle,PF,MIN,BKN,34.5,24.5,5.7,7.2,2.09,2.93,0.74,0.31,37.4,Default,20000710
Naz Reid,C,MIN,BKN,24.0,13.7,1.8,5.4,1.71,1.53,0.72,0.84,20.8,Default,20002336
Rudy Gobert,C,MIN,BKN,32.5,12.7,1.2,10.7,0.01,1.33,0.72,1.55,24.6,Default,20000840
Jalen Brunson,PG,NYK,WAS,33.5,27.4,6.8,3.9,2.69,2.09,1.03,0.13,38.1,Default,20002032
Tyler Kolek,PG,NYK,WAS,6.5,2.1,1.7,0.8,0.33,0.35,0.26,0.08,4.5,Default,20003210
Miles McBride,PG,NYK,WAS,26.5,10.3,2.8,2.9,2.09,0.67,1.25,0.28,16.0,Default,20002692
Jordan Clarkson,SG,NYK,WAS,15.5,9.0,1.4,2.0,1.22,1.06,0.42,0.11,12.4,Default,20000708
Landry Shamet,SG,NYK,WAS,15.5,6.3,0.9,1.5,1.44,0.52,0.44,0.12,8.8,Default,20002019
Mikal Bridges,SF,NYK,WAS,34.5,15.2,4.5,4.6,1.78,1.25,1.28,0.48,24.3,Default,20001998
Pacome Dadiet,SF,NYK,WAS,1.0,0.3,0.0,0.2,0.06,0.03,0.03,0.02,0.5,Default,20003235
OG Anunoby,PF,NYK,WAS,34.0,15.8,2.4,5.4,2.53,1.19,1.73,0.85,23.7,Default,20001838
Josh Hart,SG,NYK,WAS,24.0,7.9,3.7,6.9,0.8,1.13,0.98,0.25,18.5,Default,20001853
Guerschon Yabusele,PF,NYK,WAS,12.0,5.1,0.9,2.9,0.74,0.47,0.42,0.18,8.9,Default,20001717
Karl-Anthony Towns,PF,NYK,WAS,33.0,23.4,3.1,12.4,2.08,2.39,0.85,0.77,38.9,Default,20001431
Ariel Hukporti,C,NYK,WAS,3.0,0.7,0.2,0.9,0.0,0.2,0.04,0.18,1.8,Default,20003257
Trey Jemison,C,NYK,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Default,20003172
Mohamed Diawara,PF,NYK,WAS,1.0,0.4,0.1,0.2,0.04,0.04,0.03,0.03,0.6,Default,20003495
Jrue Holiday,PG,POR,LAL,32.5,16.6,7.1,4.7,2.63,2.2,1.2,0.46,28.4,Default,20000474
Caleb Love,SG,POR,LAL,8.0,4.0,0.9,1.2,0.64,0.37,0.29,0.11,6.1,Default,20003503
Shaedon Sharpe,SG,POR,LAL,27.0,19.5,2.5,3.7,2.47,1.93,0.78,0.21,25.7,Default,20002874
Rayan Rupert,SG,POR,LAL,8.5,2.8,0.7,1.2,0.38,0.39,0.25,0.05,4.7,Default,20003048
Toumani Camara,PF,POR,LAL,32.0,13.0,2.8,5.0,2.15,1.36,1.5,0.56,20.8,Default,20003085
Deni Avdija,SF,POR,LAL,33.0,22.9,5.2,6.7,2.39,3.11,1.08,0.46,34.8,Default,20002534
Kris Murray,SF,POR,LAL,24.0,6.7,1.5,4.0,0.74,0.96,0.97,0.33,12.2,Default,20003054
Jerami Grant,PF,POR,LAL,29.0,17.1,1.9,3.1,2.39,1.35,0.86,0.6,22.1,Default,20000727
Donovan Clingan,C,POR,LAL,25.0,9.0,1.8,9.0,0.52,1.16,0.75,1.58,19.7,Default,20003190
Yang Hansen,C,POR,LAL,1.0,0.4,0.1,0.3,0.02,0.05,0.02,0.04,0.7,Default,20003478
Robert Williams,C,POR,LAL,13.0,4.7,0.9,4.0,0.01,0.52,0.41,0.91,9.5,Default,20002024
Duop Reath,C,POR,LAL,7.0,3.4,0.4,1.3,0.62,0.29,0.21,0.19,5.1,Default,20002150
Dennis Schroder,PG,SAC,DEN,31.5,13.7,5.3,2.9,1.6,2.11,1.01,0.24,22.0,Default,20000606
Russell Westbrook,PG,SAC,DEN,29.0,13.5,4.8,5.0,1.5,2.82,1.36,0.49,23.4,Default,20000877
Devin Carter,PG,SAC,DEN,6.0,2.0,0.5,1.0,0.27,0.27,0.33,0.09,3.5,Default,20003196
Keon Ellis,SG,SAC,DEN,20.5,6.9,1.2,2.2,1.37,0.66,1.4,0.58,10.3,Default,20002905
Zach Lavine,SG,SAC,DEN,34.0,22.5,3.2,3.2,2.94,2.31,0.77,0.23,29.0,Default,20000804
Nique Clifford,SG,SAC,DEN,18.0,5.4,1.3,3.2,0.5,0.91,0.58,0.38,9.8,Default,20003463
Daeqwon Plowden,SF,SAC,DEN,1.0,0.4,0.1,0.2,0.06,0.04,0.03,0.01,0.6,Default,20003011
DeMar DeRozan,PF,SAC,DEN,35.5,20.3,4.4,3.9,1.02,1.5,0.94,0.45,28.5,Default,20000456
Dylan Cardwell,C,SAC,DEN,6.0,1.6,0.3,1.4,0.06,0.25,0.18,0.23,3.3,Default,20003520
Maxime Raynaud,C,SAC,DEN,5.0,1.8,0.3,0.9,0.2,0.2,0.14,0.08,3.0,Default,20003481
Domantas Sabonis,C,SAC,DEN,33.5,16.6,4.2,12.6,0.71,2.43,0.93,0.39,33.4,Default,20001683
Drew Eubanks,C,SAC,DEN,13.5,5.0,0.7,3.7,0.05,0.57,0.38,0.71,9.3,Default,20002045
Dario Saric,C,SAC,DEN,3.0,1.1,0.2,0.6,0.15,0.14,0.07,0.02,1.9,Default,20001597
Isaac Jones,PF,SAC,DEN,3.5,1.4,0.1,0.7,0.04,0.14,0.09,0.08,2.1,Default,20003267
Keyonte George,PG,UTA,BOS,33.0,18.8,6.3,3.6,2.5,2.72,0.7,0.14,28.7,Default,20003044
Isaiah Collier,PG,UTA,BOS,20.5,7.2,4.4,2.4,0.56,1.97,0.66,0.13,14.1,Default,20003204
Walter Clayton Jr.,PG,UTA,BOS,15.0,5.9,2.3,2.0,0.89,0.94,0.47,0.12,10.2,Default,20003464
Svi Mykhailiuk,SG,UTA,BOS,25.0,8.7,2.1,2.8,1.75,1.06,0.7,0.14,13.6,Default,20002035
Ace Bailey,SF,UTA,BOS,19.0,7.9,1.4,3.3,0.92,1.14,0.37,0.33,12.6,Default,20003446
